date,drivers,front,rear,total
19690101,0.186,0.096,0.03,0.312
19690201,0.196,0.107,0.034,0.338
19690301,0.151,0.081,0.032,0.264
19690401,0.126,0.074,0.037,0.238
19690501,0.138,0.084,0.038,0.26
19690601,0.122,0.076,0.034,0.233
19690701,0.116,0.075,0.039,0.229
19690801,0.116,0.078,0.038,0.232
19690901,0.13,0.079,0.033,0.243
19691001,0.145,0.075,0.038,0.259
19691101,0.219,0.113,0.044,0.376
19691201,0.232,0.12,0.047,0.399
19700101,0.192,0.101,0.035,0.328
19700201,0.198,0.101,0.035,0.333
19700301,0.156,0.091,0.032,0.279
19700401,0.145,0.083,0.034,0.262
19700501,0.122,0.077,0.038,0.236
19700601,0.118,0.067,0.033,0.218
19700701,0.129,0.078,0.039,0.247
19700801,0.121,0.081,0.043,0.245
19700901,0.133,0.08,0.035,0.248
19701001,0.167,0.095,0.039,0.302
19701101,0.211,0.11,0.043,0.364
19701201,0.231,0.121,0.044,0.395
19710101,0.198,0.092,0.035,0.324
19710201,0.161,0.085,0.026,0.272
19710301,0.147,0.073,0.031,0.25
19710401,0.132,0.073,0.035,0.24
19710501,0.133,0.074,0.034,0.241
19710601,0.134,0.075,0.034,0.242
19710701,0.112,0.068,0.034,0.214
19710801,0.127,0.078,0.042,0.247
19710901,0.117,0.071,0.033,0.222
19711001,0.156,0.085,0.035,0.276
19711101,0.195,0.091,0.035,0.321
19711201,0.193,0.098,0.039,0.33
19720101,0.193,0.093,0.033,0.319
19720201,0.168,0.081,0.032,0.281
19720301,0.148,0.071,0.025,0.245
19720401,0.118,0.067,0.032,0.217
19720501,0.142,0.077,0.031,0.251
19720601,0.132,0.08,0.034,0.246
19720701,0.116,0.07,0.034,0.22
19720801,0.104,0.065,0.032,0.202
19720901,0.119,0.063,0.028,0.211
19721001,0.146,0.079,0.033,0.259
19721101,0.196,0.089,0.038,0.323
19721201,0.221,0.1,0.041,0.362
19730101,0.179,0.077,0.03,0.287
19730201,0.177,0.083,0.031,0.291
19730301,0.122,0.057,0.02,0.199
19730401,0.135,0.077,0.033,0.245
19730501,0.139,0.07,0.034,0.243
19730601,0.116,0.066,0.032,0.214
19730701,0.12,0.066,0.037,0.222
19730801,0.111,0.066,0.037,0.213
19730901,0.132,0.07,0.035,0.238
19731001,0.149,0.072,0.032,0.254
19731101,0.167,0.072,0.033,0.272
19731201,0.206,0.095,0.04,0.341
19740101,0.138,0.063,0.023,0.224
19740201,0.139,0.062,0.028,0.228
19740301,0.125,0.058,0.024,0.207
19740401,0.102,0.055,0.029,0.186
19740501,0.12,0.063,0.029,0.211
19740601,0.12,0.059,0.028,0.207
19740701,0.114,0.057,0.033,0.204
19740801,0.113,0.063,0.036,0.212
19740901,0.136,0.073,0.031,0.24
19741001,0.151,0.067,0.032,0.25
19741101,0.167,0.073,0.033,0.273
19741201,0.163,0.076,0.032,0.271
19750101,0.14,0.059,0.025,0.224
19750201,0.122,0.055,0.027,0.204
19750301,0.131,0.061,0.03,0.222
19750401,0.106,0.049,0.021,0.176
19750501,0.101,0.053,0.029,0.183
19750601,0.093,0.052,0.027,0.172
19750701,0.093,0.052,0.027,0.171
19750801,0.091,0.052,0.03,0.174
19750901,0.112,0.052,0.027,0.191
19751001,0.111,0.052,0.024,0.187
19751101,0.148,0.067,0.03,0.245
19751201,0.17,0.077,0.036,0.283
19760101,0.121,0.058,0.022,0.201
19760201,0.139,0.057,0.026,0.222
19760301,0.104,0.05,0.022,0.176
19760401,0.097,0.045,0.026,0.167
19760501,0.096,0.048,0.026,0.171
19760601,0.084,0.041,0.021,0.146
19760701,0.092,0.05,0.028,0.17
19760801,0.074,0.042,0.024,0.14
19760901,0.106,0.05,0.022,0.178
19761001,0.12,0.057,0.029,0.205
19761101,0.149,0.062,0.026,0.237
19761201,0.185,0.08,0.03,0.296
19770101,0.138,0.06,0.024,0.222
19770201,0.116,0.047,0.019,0.182
19770301,0.101,0.044,0.019,0.163
19770401,0.098,0.048,0.024,0.17
19770501,0.091,0.049,0.019,0.159
19770601,0.09,0.05,0.023,0.162
19770701,0.088,0.051,0.028,0.167
19770801,0.093,0.048,0.027,0.168
19770901,0.093,0.048,0.02,0.162
19771001,0.113,0.056,0.026,0.194
19771101,0.147,0.065,0.027,0.239
19771201,0.16,0.076,0.031,0.267
19780101,0.158,0.072,0.03,0.259
19780201,0.126,0.054,0.022,0.201
19780301,0.104,0.054,0.024,0.181
19780401,0.098,0.05,0.02,0.169
19780501,0.087,0.046,0.023,0.156
19780601,0.096,0.051,0.026,0.173
19780701,0.092,0.054,0.028,0.174
19780801,0.087,0.051,0.027,0.165
19780901,0.095,0.05,0.022,0.167
19781001,0.105,0.05,0.023,0.177
19781101,0.139,0.064,0.029,0.232
19781201,0.165,0.074,0.028,0.267
19790101,0.162,0.071,0.027,0.26
19790201,0.119,0.053,0.019,0.192
19790301,0.12,0.054,0.023,0.197
19790401,0.094,0.048,0.021,0.163
19790501,0.092,0.048,0.023,0.164
19790601,0.085,0.043,0.021,0.149
19790701,0.082,0.049,0.022,0.153
